Date,Open,High,Low,Close,Adj Close,Volume
2014-07-29,12425.000000,12500.000000,12370.000000,12405.000000,11766.377930,386500
2014-07-30,12390.000000,12535.000000,12280.000000,12325.000000,11690.496094,432900
2014-07-31,11740.000000,11875.000000,11330.000000,11525.000000,10931.679688,1982200
2014-08-01,11500.000000,11515.000000,11305.000000,11350.000000,10765.689453,1267500
2014-08-04,11400.000000,11400.000000,11150.000000,11225.000000,10647.124023,576100
2014-08-05,11220.000000,11410.000000,11190.000000,11200.000000,10623.413086,811700
2014-08-06,11250.000000,11270.000000,11070.000000,11075.000000,10504.845703,777500
2014-08-07,11075.000000,11135.000000,10970.000000,11085.000000,10514.333008,817600
2014-08-08,11010.000000,11060.000000,10790.000000,10835.000000,10277.203125,900000
2014-08-11,10990.000000,11030.000000,10925.000000,10990.000000,10424.223633,736000
2014-08-12,11000.000000,11020.000000,10865.000000,10965.000000,10400.511719,602600
2014-08-13,10965.000000,10990.000000,10880.000000,10970.000000,10405.253906,348400
2014-08-14,11100.000000,11200.000000,11000.000000,11100.000000,10528.560547,740700
2014-08-15,11150.000000,11375.000000,11120.000000,11290.000000,10708.778320,576100
2014-08-18,11415.000000,12125.000000,11395.000000,11740.000000,11135.613281,2652600
2014-08-19,11695.000000,11855.000000,11505.000000,11675.000000,11073.958984,1066200
2014-08-20,11650.000000,11720.000000,11545.000000,11590.000000,10993.334961,374800
2014-08-21,11605.000000,11675.000000,11520.000000,11600.000000,11002.819336,322700
2014-08-22,11700.000000,11735.000000,11580.000000,11615.000000,11017.046875,333300
2014-08-25,11650.000000,11725.000000,11625.000000,11675.000000,11073.958984,253700
2014-08-26,11695.000000,11715.000000,11565.000000,11570.000000,10974.364258,301900
2014-08-27,11650.000000,11685.000000,11505.000000,11555.000000,10960.136719,352000
2014-08-28,11500.000000,11555.000000,11405.000000,11450.000000,10860.541992,319600
2014-08-29,11400.000000,11575.000000,11375.000000,11530.000000,10936.423828,406500
2014-09-01,11685.000000,11850.000000,11615.000000,11735.000000,11130.871094,733900
2014-09-02,11750.000000,12145.000000,11745.000000,12075.000000,11453.366211,1111900
2014-09-03,12150.000000,12165.000000,11870.000000,11905.000000,11292.119141,683500
2014-09-04,11955.000000,12060.000000,11900.000000,11920.000000,11306.345703,475800
2014-09-05,11975.000000,11985.000000,11850.000000,11940.000000,11325.316406,320700
2014-09-08,11825.000000,11835.000000,11610.000000,11775.000000,11168.811523,513900
2014-09-09,11830.000000,11875.000000,11770.000000,11770.000000,11164.068359,346000
2014-09-10,11790.000000,11940.000000,11785.000000,11935.000000,11320.573242,425900
2014-09-11,11990.000000,12080.000000,11935.000000,12020.000000,11401.199219,507500
2014-09-12,11950.000000,12000.000000,11865.000000,11920.000000,11306.345703,563300
2014-09-16,11930.000000,12125.000000,11925.000000,12095.000000,11472.337891,490900
2014-09-17,12115.000000,12180.000000,12005.000000,12005.000000,11386.970703,321000
2014-09-18,12070.000000,12225.000000,12060.000000,12180.000000,11552.961914,536800
2014-09-19,12210.000000,12280.000000,12130.000000,12165.000000,11538.733398,574600
2014-09-22,12200.000000,12470.000000,12200.000000,12265.000000,11633.586914,806100
2014-09-24,12145.000000,12225.000000,11925.000000,11975.000000,11358.514648,712300
2014-09-25,12005.000000,12190.000000,12005.000000,12135.000000,11510.277344,596600
2014-09-26,12000.000000,12085.000000,11970.000000,12030.000000,11410.683594,382900
2014-09-29,12085.000000,12140.000000,11930.000000,12000.000000,11382.227539,305100
2014-09-30,11980.000000,12025.000000,11855.000000,11930.000000,11315.833008,399500
2014-10-01,11905.000000,11940.000000,11750.000000,11750.000000,11145.098633,334900
2014-10-02,11600.000000,11645.000000,11490.000000,11495.000000,10903.226563,452700
2014-10-03,11390.000000,11550.000000,11305.000000,11420.000000,10832.086914,451300
2014-10-06,11600.000000,11780.000000,11585.000000,11660.000000,11059.730469,695700
2014-10-07,11700.000000,11740.000000,11515.000000,11525.000000,10931.679688,334500
2014-10-08,11390.000000,11500.000000,11335.000000,11450.000000,10860.541992,372000
2014-10-09,11500.000000,11550.000000,11305.000000,11325.000000,10741.976563,327700
2014-10-10,11155.000000,11255.000000,11090.000000,11185.000000,10609.183594,518700
2014-10-14,11065.000000,11185.000000,10980.000000,11060.000000,10490.619141,675700
2014-10-15,11065.000000,11105.000000,10900.000000,11075.000000,10504.845703,485100
2014-10-16,10735.000000,10880.000000,10530.000000,10725.000000,10172.867188,1043000
2014-10-17,10830.000000,10895.000000,10650.000000,10695.000000,10144.410156,486600
2014-10-20,10875.000000,11015.000000,10840.000000,10960.000000,10395.769531,508800
2014-10-21,11000.000000,11130.000000,10900.000000,10985.000000,10419.479492,607200
2014-10-22,11100.000000,11250.000000,11075.000000,11210.000000,10632.897461,459500
2014-10-23,11225.000000,11270.000000,11060.000000,11185.000000,10609.183594,356600
2014-10-24,11255.000000,11265.000000,10895.000000,10935.000000,10372.055664,665000
2014-10-27,11070.000000,11235.000000,11045.000000,11180.000000,10604.442383,509300
2014-10-28,11180.000000,11215.000000,11040.000000,11100.000000,10528.560547,351500
2014-10-29,11105.000000,11200.000000,11045.000000,11120.000000,10547.532227,529100
2014-10-30,11900.000000,11980.000000,11055.000000,11235.000000,10656.612305,2334400
2014-10-31,11325.000000,11995.000000,11325.000000,11910.000000,11296.862305,1864000
2014-11-04,12560.000000,12560.000000,12255.000000,12275.000000,11643.070313,1699000
2014-11-05,12250.000000,12480.000000,12225.000000,12335.000000,11699.983398,898800
2014-11-06,12400.000000,12455.000000,12125.000000,12200.000000,11571.930664,575300
2014-11-07,12345.000000,12360.000000,12125.000000,12165.000000,11538.733398,437300
2014-11-10,12090.000000,12140.000000,11990.000000,12055.000000,11434.396484,372000
2014-11-11,12180.000000,12440.000000,12145.000000,12370.000000,11733.178711,1003000
2014-11-12,12500.000000,12660.000000,12480.000000,12560.000000,11913.398438,809300
2014-11-13,12520.000000,12560.000000,12345.000000,12525.000000,11880.200195,569200
2014-11-14,12745.000000,12880.000000,12620.000000,12875.000000,12212.181641,945200
2014-11-17,12905.000000,12970.000000,12540.000000,12570.000000,11922.882813,609800
2014-11-18,12720.000000,13000.000000,12710.000000,12990.000000,12321.261719,742400
2014-11-19,13155.000000,13320.000000,12835.000000,12850.000000,12188.469727,934000
2014-11-20,12920.000000,13050.000000,12745.000000,12925.000000,12259.608398,648000
2014-11-21,12965.000000,12990.000000,12770.000000,12970.000000,12302.291016,419200
2014-11-25,13130.000000,13350.000000,13065.000000,13255.000000,12572.619141,801000
2014-11-26,13180.000000,13500.000000,13150.000000,13425.000000,12733.867188,993900
2014-11-27,13610.000000,13655.000000,13235.000000,13320.000000,12634.273438,785700
2014-11-28,13485.000000,13775.000000,13385.000000,13760.000000,13051.621094,815300
2014-12-01,13850.000000,14460.000000,13780.000000,14130.000000,13402.573242,1440200
2014-12-02,13800.000000,14060.000000,13755.000000,13800.000000,13089.563477,1023800
2014-12-03,13980.000000,14200.000000,13940.000000,14050.000000,13326.691406,722400
2014-12-04,14300.000000,14345.000000,13880.000000,13980.000000,13260.294922,697900
2014-12-05,14095.000000,14195.000000,13905.000000,14185.000000,13454.743164,577600
2014-12-08,14210.000000,14210.000000,13810.000000,13845.000000,13132.245117,1060000
2014-12-09,13775.000000,13950.000000,13605.000000,13655.000000,12952.025391,1026300
2014-12-10,13550.000000,13665.000000,13425.000000,13530.000000,12833.460938,1127500
2014-12-11,13310.000000,13390.000000,13115.000000,13355.000000,12667.470703,1424300
2014-12-12,13270.000000,13405.000000,13210.000000,13210.000000,12529.935547,1009000
2014-12-15,13090.000000,13240.000000,12990.000000,13020.000000,12349.717773,525400
2014-12-16,12760.000000,12870.000000,12480.000000,12505.000000,11861.229492,1075700
2014-12-17,12400.000000,12595.000000,12345.000000,12430.000000,11790.089844,675400
2014-12-18,12700.000000,12820.000000,12575.000000,12655.000000,12003.507813,813800
2014-12-19,12850.000000,12875.000000,12600.000000,12640.000000,11989.280273,850800
2014-12-22,12750.000000,12785.000000,12525.000000,12655.000000,12003.507813,520900
2014-12-24,12790.000000,12930.000000,12700.000000,12850.000000,12188.469727,591500
2014-12-25,12890.000000,12935.000000,12770.000000,12780.000000,12122.071289,229400
2014-12-26,12800.000000,12900.000000,12750.000000,12835.000000,12174.241211,183900
2014-12-29,12835.000000,12875.000000,12585.000000,12645.000000,11994.020508,409300
2014-12-30,12770.000000,12845.000000,12605.000000,12605.000000,11956.080078,443500
2015-01-05,12515.000000,12550.000000,12300.000000,12320.000000,11685.754883,572700
2015-01-06,12040.000000,12060.000000,11775.000000,11805.000000,11197.268555,1047600
2015-01-07,11800.000000,11965.000000,11765.000000,11865.000000,11254.179688,611300
2015-01-08,12000.000000,12845.000000,11790.000000,12135.000000,11510.277344,2461700
2015-01-09,12155.000000,12455.000000,12155.000000,12205.000000,11576.674805,893800
2015-01-13,12050.000000,12270.000000,12015.000000,12265.000000,11633.586914,821100
2015-01-14,12155.000000,12200.000000,11725.000000,11735.000000,11130.871094,959400
2015-01-15,11845.000000,12175.000000,11830.000000,12085.000000,11462.851563,682300
2015-01-16,11850.000000,11950.000000,11705.000000,11930.000000,11315.833008,617400
2015-01-19,12190.000000,12235.000000,12070.000000,12125.000000,11500.792969,587400
2015-01-20,12010.000000,12230.000000,11980.000000,12185.000000,11557.704102,428800
2015-01-21,12125.000000,12255.000000,12070.000000,12165.000000,11538.733398,518500
2015-01-22,12080.000000,12125.000000,11950.000000,12060.000000,11439.139648,400500
2015-01-23,12175.000000,12185.000000,11965.000000,12020.000000,11401.199219,462500
2015-01-26,11850.000000,12110.000000,11830.000000,12095.000000,11472.337891,455300
2015-01-27,12185.000000,12410.000000,12180.000000,12315.000000,11681.010742,539600
2015-01-28,12230.000000,12360.000000,12130.000000,12300.000000,11666.784180,617400
2015-01-29,11685.000000,11785.000000,11140.000000,11235.000000,10656.612305,2245100
2015-01-30,11295.000000,11590.000000,11140.000000,11430.000000,10841.571289,1468800
2015-02-02,11350.000000,11600.000000,11345.000000,11445.000000,10855.797852,704000
2015-02-03,11400.000000,11445.000000,11150.000000,11225.000000,10647.124023,720800
2015-02-04,11350.000000,11460.000000,11280.000000,11340.000000,10756.204102,619600
2015-02-05,11420.000000,11500.000000,11255.000000,11290.000000,10708.778320,617400
2015-02-06,11560.000000,11825.000000,11500.000000,11770.000000,11164.068359,1542400
2015-02-09,11915.000000,11930.000000,11630.000000,11740.000000,11135.613281,549400
2015-02-10,11780.000000,11825.000000,11700.000000,11795.000000,11187.782227,302300
2015-02-12,11930.000000,11975.000000,11825.000000,11850.000000,11239.951172,566400
2015-02-13,11850.000000,11880.000000,11690.000000,11740.000000,11135.613281,455800
2015-02-16,11800.000000,11830.000000,11645.000000,11670.000000,11069.215820,688600
2015-02-17,11715.000000,11850.000000,11675.000000,11750.000000,11145.098633,434100
2015-02-18,11830.000000,11915.000000,11805.000000,11905.000000,11292.119141,476500
2015-02-19,11945.000000,12155.000000,11920.000000,12055.000000,11434.396484,523500
2015-02-20,12130.000000,12140.000000,12015.000000,12095.000000,11472.337891,353500
2015-02-23,12150.000000,12175.000000,12080.000000,12175.000000,11548.217773,458900
2015-02-24,12125.000000,12200.000000,12015.000000,12200.000000,11571.930664,504500
2015-02-25,12190.000000,12285.000000,12120.000000,12235.000000,11605.129883,364600
2015-02-26,12150.000000,12460.000000,12135.000000,12425.000000,11785.349609,492700
2015-02-27,12500.000000,12920.000000,12475.000000,12780.000000,12122.071289,1302600
2015-03-02,12850.000000,13020.000000,12850.000000,12975.000000,12307.034180,638700
2015-03-03,13035.000000,13085.000000,12935.000000,13050.000000,12378.172852,504000
2015-03-04,13025.000000,13085.000000,12895.000000,13005.000000,12335.490234,442600
2015-03-05,13045.000000,13625.000000,13005.000000,13610.000000,12909.342773,975900
2015-03-06,13610.000000,13910.000000,13590.000000,13835.000000,13122.760742,1164700
2015-03-09,13680.000000,13930.000000,13620.000000,13855.000000,13141.731445,644400
2015-03-10,13835.000000,13855.000000,13405.000000,13510.000000,12814.491211,1014300
2015-03-11,13310.000000,13480.000000,13240.000000,13300.000000,12615.301758,1088800
2015-03-12,13320.000000,13475.000000,13215.000000,13470.000000,12776.549805,514900
2015-03-13,13595.000000,13770.000000,13590.000000,13700.000000,12994.709961,886200
2015-03-16,13720.000000,14215.000000,13710.000000,13885.000000,13170.185547,1075000
2015-03-17,13925.000000,14200.000000,13760.000000,14080.000000,13355.147461,1295300
2015-03-18,17080.000000,17080.000000,17080.000000,17080.000000,16200.702148,117700
2015-03-19,20780.000000,20785.000000,18390.000000,19100.000000,18116.714844,8521800
2015-03-20,18510.000000,18595.000000,17565.000000,17845.000000,16926.322266,3504600
2015-03-23,18000.000000,18800.000000,17990.000000,18485.000000,17533.373047,2480000
2015-03-24,18120.000000,18235.000000,17835.000000,17940.000000,17016.429688,1406000
2015-03-25,17940.000000,18735.000000,17775.000000,18555.000000,17599.771484,1939000
2015-03-26,18385.000000,18750.000000,17820.000000,17995.000000,17068.597656,2508300
2015-03-27,18135.000000,18240.000000,17910.000000,18205.000000,17442.259766,979700
2015-03-30,18000.000000,18190.000000,17815.000000,18010.000000,17255.427734,1044500
2015-03-31,18160.000000,18180.000000,17655.000000,17675.000000,16934.462891,915700
2015-04-01,17655.000000,17985.000000,17470.000000,17835.000000,17087.759766,866500
2015-04-02,17790.000000,17830.000000,17455.000000,17500.000000,16766.794922,1035900
2015-04-03,17655.000000,18245.000000,17580.000000,18245.000000,17480.583984,1126700
2015-04-06,18155.000000,18880.000000,18100.000000,18655.000000,17873.406250,821700
2015-04-07,18905.000000,19280.000000,18905.000000,19085.000000,18285.390625,1098400
2015-04-08,19230.000000,19290.000000,18835.000000,19105.000000,18304.550781,869500
2015-04-09,18935.000000,19050.000000,18770.000000,18860.000000,18069.816406,630200
2015-04-10,18750.000000,18940.000000,18630.000000,18910.000000,18117.722656,615100
2015-04-13,18940.000000,19825.000000,18840.000000,19765.000000,18936.896484,1564500
2015-04-14,19580.000000,19690.000000,19250.000000,19440.000000,18625.513672,868700
2015-04-15,19435.000000,20045.000000,19300.000000,19920.000000,19085.408203,1155700
2015-04-16,19950.000000,20720.000000,19920.000000,20655.000000,19789.611328,1476700
2015-04-17,20550.000000,20595.000000,20165.000000,20370.000000,19516.550781,1052700
2015-04-20,20200.000000,20430.000000,19850.000000,20245.000000,19396.789063,561600
2015-04-21,20385.000000,20680.000000,20205.000000,20670.000000,19803.984375,682900
2015-04-22,20820.000000,21055.000000,20680.000000,20915.000000,20038.714844,932700
2015-04-23,20845.000000,20910.000000,20275.000000,20370.000000,19516.550781,815400
2015-04-24,20505.000000,20885.000000,20405.000000,20750.000000,19880.630859,661600
2015-04-27,20550.000000,20600.000000,20330.000000,20575.000000,19712.962891,538400
